原标签 (Original Tag),精校中文翻译 (Refined Translation),作品数量 (Count),大类分类 (Primary Category),子分类/说明 (Subcategory)
series,series,6686,分类标签,General
cowgirl,骑乘位/牛仔女郎姿势,6679,性癖/体位,XP - Position
extra,extra,6679,分类标签,General
fire emblem,火焰之纹章,6655,IP/作品,IP
ocs,ocs,6599,分类标签,General
real,real,6597,分类标签,General
ecchi,轻度工口/色情擦边,6583,通用评级,General
ケモノ,兽人/毛毛/兽人拟人,6554,性癖/风格,XP - Furry
stream,stream,6525,分类标签,General
music,music,6522,分类标签,General
muscle growth,肌肉爆发增长,6514,性癖/体型,XP - Expansion
elf,精灵族,6512,角色属性,Character
mod,游戏Mod/自制拓展模组,6511,制品类型,Game Mod
monster girl,魔物娘 / 异形娘,6494,角色属性,XP - Monster
chubby,微胖/微肉感可爱,6465,性癖/体型,XP - Body Type
movie reaction,movie reaction,6460,分类标签,General
cock,公狗巨根 / 粗大肉棒,6438,身体部位,XP - Body Part
ドmホイホイ,抖M诱捕器/受虐狂福利,6420,性癖/调教,XP - Masochism
tits,乳房/双乳/欧派,6346,性癖/身体部位,XP - Body Part
movies,movies,6323,分类标签,General
yaoi,耽美 / 纯爱男同 (BL),6322,性向风格,XP - Yaoi
high resolution,high resolution,6317,分类标签,General
full reaction,full reaction,6282,分类标签,General
caption,图文配字/变身故事配文,6281,表现形式,XP - Caption/TF
high res,high res,6240,分类标签,General
ウマ娘,赛马娘 (Uma Musume),6235,IP/作品,IP
bara,田龟源五郎风/壮熊/肌肉男 (Bara),6174,性向/体型,XP - Bara
brunette,brunette,6172,分类标签,General
bigboobs,大胸/巨乳,6138,性癖/身体部位,XP - Body Part
stockings,长筒丝袜 / 吊带袜,6128,服装配件,Clothing
触手,触手/触手侵犯/触手play,6126,性癖/异种玩法,XP - Tentacles
mtf,男变女 (Male to Female),6107,性癖/变身,XP - TSF
pantyhose,连裤袜 / 丝袜,6091,服装配件,Clothing
mods,游戏模组整合包,6081,制品类型,Game Mod
foot fetish,恋足癖/足控,6050,性癖/身体部位,XP - Feet
差分,表情/差分/服装差分图,6046,美术格式,Art Format
balls,balls,6010,分类标签,General
paizuri,乳交 / 欧派夹击,6008,性爱玩法,XP - Sex
lactation,泌乳 / 母乳喷溅,6003,体液细节,XP - Fluids
muscular,肌肉健壮/强壮身材,5988,性癖/体型,XP - Muscle
toes,脚趾 / 涂甲美趾,5979,身体部位,XP - Fetish
archive,历史归档/合集打包,5943,制作状态,Status
clothing,clothing,5942,分类标签,General
demon,恶魔娘 / 魅魔,5935,角色属性,Character
livestream,livestream,5918,分类标签,General
premium,premium,5909,分类标签,General
hypnosis,催眠调教 / 深度催眠,5887,剧情题材,XP - Mind Control
くすぐり,挠痒痒/羽毛挠脚心,5870,性癖/玩法,XP - Tickle
nature,nature,5852,分类标签,General
foot,脚控 / 丝袜美足,5844,身体部位,XP - Fetish
poll winner,poll winner,5833,分类标签,General
sound,sound,5823,分类标签,General
info,info,5822,分类标签,General
horse,horse,5806,分类标签,General
r18/nsfw,成人R-18限制级,5792,通用评级,General
,,20225772,分类标签,General
adult,成人级/成熟内容,5763,通用评级,General
animegirl,animegirl,5760,分类标签,General
進捗,开发进度/绘制进捗报告,5751,制作状态,Status
konosuba,为美好的世界献上祝福！,5747,IP/作品,IP
large breasts,大乳房/巨乳,5731,性癖/身体部位,XP - Body Part
cumshot,精液飞溅 / 颜射,5690,性爱玩法,XP - Fluids
boudoir,boudoir,5685,分类标签,General
big tits,巨乳/大胸,5669,性癖/身体部位,XP - Body Part
bluearchive,碧蓝档案,5660,IP/作品,IP
pack,资源包 / 整合包,5646,制品类型,Pack
東方project,东方 Project,5638,IP/作品,IP
humiliation,羞辱/屈辱感/精神凌辱,5615,性癖/调教,XP - Humiliation
redhead,redhead,5593,分类标签,General
アズールレーン,碧蓝航线,5578,IP/作品,IP
full res,full res,5578,分类标签,General
おしっこ,排尿/圣水/黄金水/漏尿,5578,性癖/特殊玩法,XP - Pee/Watersports
selfie,自拍视角/自拍杆风格,5563,镜头视角,POV
dog,dog,5561,分类标签,General
お知らせ,官方公告/活动通告,5538,制作状态,Status
comic page,单页漫画,5537,制品类型,Comic
nude art,nude art,5528,美术格式,General
bunny,兔女郎 / 兔子,5527,服装/角色,Character
kissing,kissing,5513,分类标签,General
sims,sims,45511,分类标签,General
stuffing,暴饮暴食/胃部撑大/填鸭 (Stuffing),5502,性癖/身体异变,XP - Expansion/TF
panties,内裤 / 胖次,5499,服装造型,Clothing
chainsaw man,电锯人,5484,流行IP/动漫,IP - Anime
honkaistarrail,崩坏：星穹铁道,5478,IP/作品,IP
艦これ,舰队Collection (舰娘),5473,IP/作品,IP
boobies,boobies,5459,分类标签,General
body,body,5444,分类标签,General
mature,成熟御姐 / 熟女人妻,5408,角色属性,Character
handjob,手交 / 撸管调教,5378,性爱玩法,XP - Sex
games,游戏合集/可玩独立游戏,5370,制品类型,Game
underwear,内衣裤 / 贴身衣物,5346,服装造型,Clothing
corruption,恶堕 / 堕落恶魔化,5342,剧情题材,XP - Corruption
水着,泳装/泳衣/比基尼,5339,服饰配件,Outfit
tifa,蒂法 (最终幻想7),5335,角色名称,Character
images,images,5306,分类标签,General
episode,episode,5286,分类标签,General
outdoors,outdoors,5281,分类标签,General
拘束,身体拘束/束缚/牢笼囚禁,5273,性癖/玩法,XP - BDSM
ahegao,阿黑颜 / 翻白眼吐舌高潮脸,5273,面部表情,XP - Expression
ボテ腹,受孕大肚/怀孕凸腹/膨胀腹部,5269,性癖/身体状态,XP - Pregnancy
game of thrones,game of thrones,5265,制品类型,General
patreon reward,patreon reward,5241,分类标签,General
erotica,erotica,5237,分类标签,General
onepiece,onepiece,5236,分类标签,General
oral,口交/深喉/口部侍奉,5231,性癖/行为,XP - Sex Play
ts,ts,45218,分类标签,General
2b,2B (尼尔机械纪元),5210,角色名称,Character
animations,动画合集/多段短片,5204,制品类型,Animation
アナル,肛门/后庭/肛交玩法,5197,性癖/行为,XP - Anal
gts,女巨人 (GTS),5195,性癖/体型,XP - Size
boxing,boxing,5152,分类标签,General
beautiful,beautiful,5147,分类标签,General
shrinking,身体缩小/缩小化体验 (Shrinking),5116,性癖/体型变异,XP - Size TF
男の娘,男孩子/伪娘/可爱的女装少年,5100,性癖/角色类型,XP - Trap/Femboy
breast,胸部/乳房,5094,性癖/身体部位,XP - Body Part
scene,scene,5082,分类标签,General
リクエスト,リクエスト,5051,分类标签,General
cyberpunk,赛博朋克风格,5023,题材风格,Genre
百合,百合花开/女同性恋爱恋,5012,性向分类,XP - Yuri
secret,secret,5009,分类标签,General
vrchat,VRChat 3D虚拟形象模型,5001,制品类型,3D Model
arcane,双城之战 (Arcane),4993,IP/作品,IP
tier,tier,24993,分类标签,General
thick,thick,4980,分类标签,General
状態変化,状态变化/石化/物品化/异变总称,4967,性癖/身体异变,XP - Status TF
poster,poster,4955,分类标签,General
崩壊スターレイル,崩坏：星穹铁道,4954,IP/作品,IP
doodles,doodles,4953,分类标签,General
tier,tier,14940,分类标签,General
dead or alive,死或生 (DOA),4938,IP/作品,IP
女の子,美少女/单体女孩,4915,角色属性,Character
high-paying jobs,high-paying jobs,4915,分类标签,General
comic pages,comic pages,4910,分类标签,General
colored,colored,4910,分类标签,General
horror,horror,4899,分类标签,General
dragonball,dragonball,4886,分类标签,General
rule,rule,344885,分类标签,General
photos,photos,4881,分类标签,General
yoga,yoga,4875,分类标签,General
loona,loona,4871,分类标签,General
watchalong,watchalong,4870,分类标签,General
set,图集合集,4870,制品类型,Pack
clothes,clothes,4867,分类标签,General
pregnancy,怀孕/受孕/大肚子,4867,性癖/身体状态,XP - Pregnancy
足裏,脚底板/足底/足心,4852,性癖/身体部位,XP - Feet
pictures,pictures,4849,分类标签,General
sketchbook,sketchbook,4846,分类标签,General
wrestling,wrestling,4819,分类标签,General
cow,cow,4817,分类标签,General
zenlesszonezero,绝区零,4809,IP/作品,IP
armpits,腋下/腋窝控/露腋,4783,性癖/身体部位,XP - Armpits
hinata,日向 (火影忍者),4779,角色名称,Character
hair,hair,4775,分类标签,General
maid,女仆装 / 专属女仆,4768,职业服装,Clothing
digitalart,digitalart,4762,美术格式,General
f4m,女对男音声/POV (Female for Male),4747,音声类型,Audio POV
zelda,塞尔达传说,4736,流行IP/游戏,IP - Zelda
marvel rivals,marvel rivals,4735,分类标签,General
3dcg,3D CG渲染画作,4729,制作形式,3D
thighs,大腿 / 丰满肉腿,4721,身体部位,XP - Body Part
sims,sims,4721,分类标签,General
threesome,3P三人行 (MFM/FFM),4720,多人玩法,XP - Group
downloads,下载链接集合,4715,制品类型,Download
ゲイ,男同性恋/基佬/Gay,4712,性向分类,XP - Gay/BL
nu,nu,4707,分类标签,General
busty,丰满大胸/巨乳美女,4690,性癖/身体部位,XP - Body Part
straight,异性恋 / 正常向,4672,性向风格,XP - Hetero
q&a,q&a,4672,分类标签,General
bnha,bnha,4670,分类标签,General
バーチャルyoutuber,バーチャルyoutuber,4665,分类标签,General
illustrations,illustrations,4648,分类标签,General
stable diffusion,stable diffusion,4645,分类标签,General
may,may,4639,分类标签,General
full reactions,full reactions,4639,分类标签,General
dnd,dnd,4635,分类标签,General
kpop,kpop,4624,分类标签,General
fanfiction,fanfiction,4619,分类标签,General
webcomic,webcomic,4619,分类标签,General
東方,东方 Project,4604,IP/作品,IP
muscles,强壮肌肉/肌肉线条,4598,性癖/体型,XP - Muscle
doa,doa,4598,分类标签,General
tentacles,触手 / 触手调教,4597,异种玩法,XP - Tentacle
giant,巨人/巨大化生物,4571,性癖/体型,XP - Size TF
non-pitch,non-pitch,4569,分类标签,General
pin-up,pin-up,4554,分类标签,General
,,20214552,分类标签,General
my little pony,my little pony,4534,分类标签,General
collection,collection,4474,分类标签,General
feminization,女性化/雌化改造/强制变女,4471,性癖/雌化变身,XP - Feminization/TSF
possession,附身 / 夺舍控制,4466,性癖/变身,XP - TF
vr,vr,4455,分类标签,General
huge boobs,超级巨乳/爆乳,4416,性癖/身体部位,XP - Body Part
interracial,跨种族/异肤色交配,4412,性癖/玩法,XP - Play
f4a,f4a,4404,分类标签,General
live,live,4390,分类标签,General
tekken,铁拳,4381,流行IP/游戏,IP - Tekken
painting,painting,4365,美术格式,General
summer,summer,4362,分类标签,General
progress,progress,4362,分类标签,General
girls,girls,4360,分类标签,General
ai generated,ai generated,4359,分类标签,General
couple,couple,4353,分类标签,General
支援者限定,仅限赞助支持者下载,4342,发布状态,Status
solo leveling,我独自升级,4336,IP/作品,IP
personal,personal,4330,分类标签,General
r,r,344329,分类标签,General
spicy,热辣辛辣/高浓度工口,4324,氛围风格,Style
mass effect,mass effect,4305,分类标签,General
crossover,crossover,4304,分类标签,General
japan,japan,4300,分类标签,General
other,other,4294,分类标签,General
notice,notice,4292,分类标签,General
renders,renders,4287,分类标签,General
heels,heels,4285,分类标签,General
roleplay,roleplay,4284,分类标签,General
movie reactions,movie reactions,4282,分类标签,General
stray kids,stray kids,4280,分类标签,General
stablediffusion,stablediffusion,4268,分类标签,General
おもらし,失禁/漏尿/尿裤子 (Omorashi),4266,性癖/特殊玩法,XP - Pee/Watersports
micro,微小人 / 缩小缩小,4259,性癖/体型,XP - Size
abs,腹肌 / 性感马甲线,4257,身体部位,XP - Body Part
にじさんじ,彩虹社 (Nijisanji VTuber),4256,IP/作品,VTuber
schedule,schedule,4249,分类标签,General
bodysuit,连体紧身衣/胶衣皮套,4235,服饰配件,XP - Latex/Skinsuit
tsunade,tsunade,4223,分类标签,General
black and white,black and white,4223,分类标签,General
text,text,4221,分类标签,General
devlog,游戏开发日志,4216,制品类型,Game/Devlog
gallery,gallery,4192,分类标签,General
mercy,mercy,4168,分类标签,General
fashion,fashion,4167,分类标签,General
ts4cc,ts4cc,4165,分类标签,General
zip,ZIP 压缩包分发,4152,制品类型,Download/Zip
paws,paws,4148,分类标签,General
avatar,avatar,4146,分类标签,General
footfetish,footfetish,4134,分类标签,General
wuthering waves,wuthering waves,4118,分类标签,General
sweat,香汗淋漓 / 汗水,4110,体液细节,XP - Fluids
patrons only,patrons only,4106,分类标签,General
breastexpansion,breastexpansion,4102,分类标签,General
二次創作,二次創作,4091,分类标签,General
hairy,hairy,4084,分类标签,General
bimbofication,辣妹脑残化 / 笨蛋雌堕,4074,性癖/变身,XP - Bimbo
フェラ,口交/吹箫,4067,性癖/行为,XP - Sex Play
騎乗位,骑乘位/女上位,4060,性癖/体位,XP - Position
huge ass,huge ass,4056,分类标签,General
hi-res,hi-res,4049,分类标签,General
missionary,missionary,4046,分类标签,General
feral,feral,4042,分类标签,General
